nr_ambulancias,nr_emergencias,distancia_total_media,tempo_medio_de_resposta,velocidade_media,media_de_gravidades
10,26,38.3754837792983,5.9418390379164885,8.7,6.153846153846154
50,53,42.897888612161076,6.471508222772365,9.36,5.320754716981132
56,34,40.158479963122325,5.5916516133536875,9.428571428571429,6.117647058823529
44,50,44.66435343829335,6.259324212460469,9.818181818181818,5.3
59,34,44.12142722881156,6.523982894981063,9.542372881355933,5.323529411764706
51,39,41.243577765554924,6.756064877805668,9.92156862745098,5.076923076923077
48,26,47.119229944630675,6.5626656474918725,9.416666666666666,6.0
42,52,41.32732001359446,6.035902663656253,9.404761904761905,5.519230769230769
24,25,38.57420646130693,5.538826240591063,10.125,5.52
42,37,39.62775324955603,8.11261448755567,10.261904761904763,5.135135135135135
